PlayerPos,ObstacleXPos,CoinXPos
472.8,220,473
395.4,413,396
396,413,396
580.2,316,580
579.6,316,580
369,316,369
503.4,528,503
502.8,528,503
481.2,203,488
487.8,203,488
304.8,203,305
416.4,260,510
510,260,510
305.4,308,237
237.6,308,237
352.2,308,348
351.6,247,255
289.8,247,369
369,544,369
369,544,369
273.6,471,274
274.2,471,274
307.2,471,307
315.6,414,316
315.6,414,316
307.8,552,308
308.4,552,308
513,267,554
540.6,267,392
391.8,267,392
370.8,196,371
371.4,196,371
501.6,591,502
502.2,591,502
555,591,561
543.6,238,544
543.6,238,544
304.8,329,251
251.4,329,251
246.6,329,246
247.2,456,571
570.6,456,571
488.4,482,359
358.8,482,359
183,506,183
183.6,506,183
418.2,506,418
474.6,341,610
609.6,341,610
373.8,223,362
362.4,223,362
503.4,223,503
501,366,493
493.2,366,493
393.6,290,260
260.4,290,260
546,416,546
545.4,416,546
508.8,416,509
572.4,477,573
573,477,573
525,361,525
410.4,333,276
276.6,333,276
614.4,350,614
613.8,350,614
302.4,350,336
302.4,613,336
336.6,613,336
383.4,378,383
382.8,378,383
312.6,378,313
331.8,492,383
383.4,492,383
446.4,538,468
467.4,538,468
274.2,325,274
273.6,325,274
570,325,570
398.4,416,175
175.2,416,175
269.4,393,269
268.8,393,269
234.6,393,235
196.2,363,196
196.2,363,196
322.8,514,450
449.4,514,450
556.2,514,556
553.2,517,234
234.6,517,234
437.4,424,438
438,424,438
357,439,357
357,439,357
485.4,439,486
474.6,454,449
449.4,454,449
561,224,561
561,224,561
258.6,224,461
261,559,461
461.4,559,461
298.2,550,205
205.2,550,205
237.6,284,237
237.6,284,237
426.6,284,427
342,202,303
303.6,202,303
324,538,324
324,538,324
202.2,538,202
206.4,524,296
296.4,524,296
322.2,269,322
321.6,269,322
333,309,333
333,309,333
219.6,309,220
234.6,258,234
233.4,258,234
186.6,413,187
186.6,413,187
328.2,562,328
327.6,562,328
193.2,562,193
319.8,339,610
610.2,339,382
406.2,605,382
382.2,605,382
403.8,607,404
404.4,607,404
332.4,607,332
394.8,301,395
395.4,301,395
366.6,520,366
366.6,520,366
330,520,330
305.4,431,237
237,431,237
199.2,485,199
199.2,485,199
469.2,181,530
530.4,181,530
357.6,181,357
295.8,463,208
208.2,463,208
361.8,490,362
361.8,490,362
246.6,402,247
246.6,402,247
454.2,402,454
464.4,532,464
464.4,532,464
482.4,198,483
270.6,242,259
259.2,242,259
618.6,189,619
619.2,189,619
450.6,189,451
455.4,511,456
456,511,456
464.4,453,502
502.2,453,502
543.6,453,544
499.2,385,304
303.6,385,304
340.2,194,518
490.2,194,518
422.4,194,422
463.2,568,560
524.4,568,543
525,339,543
542.4,339,543
380.4,439,325
325.2,439,325
256.2,439,256
309.6,186,309
309,186,309
463.8,533,464
463.8,533,464
369,533,369
396.6,536,515
498,536,515
420,604,420
419.4,604,420
208.8,573,209
208.8,573,209
435.6,573,436
310.8,384,182
182.4,384,182
349.2,230,554
528.6,230,323
322.8,215,323
323.4,215,323
522.6,215,523
378,342,179
178.8,342,179
225,187,225
225,187,225
327.6,187,328
387,612,387
387,612,387
378.6,324,379
378.6,324,379
406.2,446,406
406.2,446,406
193.2,446,193
288,564,288
288,564,288
400.8,521,401
401.4,521,401
272.4,334,272
222.6,519,222
222,519,222
377.4,555,377
376.8,555,377
245.4,555,245
303,395,303
303.6,395,303
348,427,410
409.8,427,410
566.4,427,567
472.8,598,377
376.8,598,377
469.8,599,470
470.4,599,470
393,599,393
338.4,526,225
225.6,526,225
432.6,558,433
432.6,558,433
352.8,187,353
352.8,187,353
552.6,187,553
464.4,403,465
464.4,403,465
443.4,564,334
361.8,564,334
485.4,564,485
444.6,327,445
445.2,327,445
596.4,424,597
596.4,424,597
460.8,469,423
422.4,469,597
596.4,469,597
505.2,312,407
406.8,312,407
476.4,220,476
476.4,220,476
255.6,220,256
307.2,496,485
463.2,496,485
357.6,331,357
357.6,331,357
256.2,286,256
255.6,286,256
348.6,286,348
436.2,553,436
436.2,553,436
427.8,213,428
427.8,213,428
410.4,213,411
443.4,349,444
444,349,444
378.6,508,379
283.2,596,283
282.6,596,283
328.8,447,329
329.4,447,329
586.8,447,587
494.4,271,484
484.2,271,484
331.8,264,332
332.4,264,332
515.4,264,515
557.4,387,557
557.4,387,557
468,619,468
467.4,619,468
445.2,619,445
413.4,353,413
413.4,353,413
585.6,316,586
585.6,316,586
461.4,477,462
461.4,477,462
622.8,477,623
517.8,521,380
379.8,521,380
228,372,228
228,372,228
248.4,372,248
246,298,246
246.6,298,246
259.8,177,395
389.4,177,395
268.2,177,268
309,617,415
414.6,617,415
251.4,188,251
250.8,188,251
587.4,464,588
587.4,464,588
259.8,464,260
393,611,529
528.6,611,529
503.4,189,504
504,189,504
609,189,609
553.2,520,531
550.8,520,531
550.8,529,386
385.8,529,386
499.2,448,543
528,448,543
243,448,243
344.4,284,344
344.4,284,344
312.6,587,190
203.4,587,190
503.4,208,503
291.6,435,277
276.6,435,277
386.4,573,506
502.2,573,575
620.4,573,493
620.4,194,493
493.2,194,493
340.2,352,340
339.6,352,340
397.8,477,373
373.2,477,373
230.4,477,230
388.8,348,572
571.8,348,572
617.4,214,617
616.8,214,617
514.8,214,515
441.6,273,442
442.2,273,442
565.8,438,566
566.4,438,566
180.6,438,181
217.8,419,357
357.6,419,357
379.2,191,590
