PlayerPos,ObstacleXPos,ObstacleY,CoinXPos,CoinYPos,ObstacleNear
349.2,516,550,431,45,0
430.8,516,850.8,431,420,1
430.8,573,191.6,431,723,0
291,573,450,291,273,0
291.6,573,550,291,398,0
291,573,810,291,723,1
321.6,573,850.8,450,0,1
449.4,317,450,450,626,0
450,317,527.6,450,723,0
433.2,317,550,267,-22,0
346.8,317,850.8,267,353,1
267,473,245.2,267,723,0
221.4,473,450,221,206,0
220.8,473,550,221,331,0
220.8,473,850.8,221,706,1
220.8,451,-37.2,221,723,0
257.4,451,450,257,559,0
256.8,451,550,257,684,0
257.4,451,581.2,257,723,0
422.4,451,850.8,597,286,1
596.4,545,298.8,597,723,0
483,545,450,230,139,0
408,545,550,230,264,0
230.4,545,850.8,230,639,1
229.8,526,16.4,230,723,0
180.6,526,450,180,492,0
180,526,550,180,617,0
180,526,634.8,180,723,1
342,526,850.8,428,219,1
427.8,517,352.4,428,723,0
354.6,517,450,335,72,0
334.8,517,550,335,197,0
334.8,517,850.8,335,572,1
334.8,353,70,335,723,0
511.8,353,450,512,425,0
512.4,353,550,512,550,0
511.8,353,688.4,512,723,1
460.8,353,850.8,461,152,1
460.8,370,406,461,723,0
493.8,370,450,497,5,0
496.8,370,550,497,130,0
496.8,370,850.8,497,505,1
497.4,460,123.6,497,723,0
252.6,460,450,187,358,0
187.2,460,550,187,483,0
187.2,460,742,187,723,1
268.8,460,850.8,562,85,1
562.2,365,450,562,711,0
562.2,365,459.6,562,723,0
494.4,365,550,212,63,0
478.8,538,450,479,575,0
479.4,538,550,479,700,0
478.8,538,568.4,479,723,0
487.8,538,850.8,595,302,1
594.6,192,286,595,723,0
478.8,192,450,479,155,0
479.4,192,550,479,280,0
479.4,192,850.8,479,655,1
478.8,301,3.6,479,723,0
350.4,301,450,323,508,0
349.8,301,550,323,633,0
349.8,301,638,323,743,1
349.8,301,850.8,266,215,1
266.4,274,355.6,266,723,0
225.6,274,450,235,68,0
225,274,550,235,193,0
225,274,850.8,235,568,1
234.6,390,73.2,235,723,0
309.6,390,450,309,421,0
309,390,550,309,546,0
309.6,390,691.6,309,723,1
342.6,390,850.8,401,148,1
401.4,553,409.2,401,723,0
399.6,553,450,400,1,0
400.2,553,550,400,126,0
400.2,553,850.8,400,501,1
399.6,607,126.8,400,723,0
390,607,450,390,354,0
389.4,607,550,390,479,0
389.4,607,745.2,390,723,1
468.6,607,850.8,592,81,1
591.6,530,450,592,707,0
591.6,530,462.8,592,723,0
609,530,550,609,59,0
609,530,850.8,609,434,1
609,258,180.4,609,723,0
415.2,258,450,415,287,0
414.6,258,550,415,412,0
415.2,258,798.8,415,723,1
454.2,258,850.8,476,14,1
476.4,360,450,476,640,0
475.8,360,516.4,476,723,0
450.6,360,550,378,-8,0
407.4,360,850.8,378,367,1
378,245,234,378,723,0
290.4,245,450,250,220,0
293.4,245,550,250,345,0
293.4,245,850.8,250,720,1
277.8,504,-29.2,250,747,0
